0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
-0.021866348,-0.65636563,-0.3967484,-0.018681167,-0.6952448,-0.38538298,-0.023634916,-0.6972441,-0.39313886,-0.017844519,-0.69278115,-0.38480923,-0.04733264,-0.68864214,-0.3891558,-0.05193885,-0.6891062,-0.386463,-0.05198619,-0.69041926,-0.38004565,0.03403466,-0.6792753,-0.28062674,-0.11372293,-0.66392124,-0.2833659,0.0014074835,-0.6321269,-0.367805,-0.045470938,-0.6285992,-0.36775482,0.14439514,-0.5309082,-0.21348955,-0.19299106,-0.48561004,-0.24025562,0.14845587,-0.53273153,-0.26437247,-0.4267107,-0.46364635,-0.26433113,0.13032381,-0.49738666,-0.408348,-0.6109171,-0.44496018,-0.35087794,0.11415332,-0.49493277,-0.3861271,-0.6799671,-0.4203776,-0.37333903,0.11362205,-0.5196076,-0.44003555,-0.7055331,-0.43494818,-0.42339367,0.11457385,-0.4861126,-0.41648552,-0.64479893,-0.4051743,-0.3931971,0.10833798,-0.0133331185,-0.0027942907,-0.11192773,-0.011615329,-0.025804115,0.039163377,0.35128388,0.0034678027,-0.12924065,0.34190896,-0.009661134,0.04684023,0.60256565,0.15188915,-0.1413302,0.57951283,0.12955679,0.05549518,0.6364583,0.15490343,-0.14304367,0.60938716,0.11957001,0.098490626,0.6846229,0.04483286,-0.2088554,0.68496823,0.007688218
-0.023708021,-0.65724486,-0.39945853,-0.019669954,-0.6950171,-0.38747475,-0.022564355,-0.6965009,-0.39300886,-0.019267714,-0.69362307,-0.38733485,-0.048388354,-0.68883985,-0.387999,-0.05123076,-0.689578,-0.38769403,-0.051764194,-0.69087833,-0.38238952,0.033022705,-0.6800339,-0.28267455,-0.11267482,-0.6645101,-0.2841145,-0.0005747004,-0.6329818,-0.3685691,-0.04533516,-0.62876016,-0.36741552,0.14444461,-0.5297034,-0.2145715,-0.19475123,-0.48530918,-0.24197827,0.15020981,-0.53092855,-0.26695228,-0.42906833,-0.46228144,-0.26629487,0.13074294,-0.5022524,-0.410706,-0.62274724,-0.4430926,-0.35380718,0.11783395,-0.4928911,-0.39582354,-0.68671983,-0.42511722,-0.3735685,0.10942652,-0.51033556,-0.4492223,-0.70758235,-0.4412758,-0.41707715,0.1138452,-0.489609,-0.41809672,-0.64979804,-0.42091054,-0.38450807,0.10828225,-0.0132230455,-0.0033993435,-0.11198098,-0.011828388,-0.025713643,0.038879074,0.35139605,0.0038169944,-0.132637,0.34093243,-0.009571759,0.046980597,0.60230994,0.14934584,-0.14279233,0.5760472,0.12369902,0.05373274,0.6342646,0.15493378,-0.145526,0.60884076,0.117612325,0.09675572,0.68463093,0.043662112,-0.20982705,0.68418986,0.00950165
-0.024461646,-0.65753675,-0.40081263,-0.019983897,-0.6951918,-0.3887441,-0.021988824,-0.6963625,-0.39279553,-0.019722622,-0.6940148,-0.3884317,-0.04886097,-0.6889186,-0.3880446,-0.051039785,-0.6896807,-0.3884064,-0.051653232,-0.6910699,-0.3831975,0.032469835,-0.68045706,-0.28354052,-0.11233493,-0.664803,-0.28457677,-0.0013055144,-0.63335484,-0.3687609,-0.045396797,-0.6286345,-0.36711222,0.14443439,-0.52931803,-0.21461104,-0.19554134,-0.48514035,-0.24274166,0.15011238,-0.53009486,-0.26780635,-0.43096545,-0.46219245,-0.26726308,0.12978677,-0.50197625,-0.40984407,-0.62977076,-0.44401324,-0.35521248,0.11845313,-0.49234736,-0.40071616,-0.6892375,-0.4281468,-0.37409058,0.1086364,-0.5055604,-0.4527569,-0.70803285,-0.44355404,-0.4145739,0.11193615,-0.4924037,-0.41887844,-0.6514067,-0.4281966,-0.3818293,0.10825908,-0.013205209,-0.0037213645,-0.11200612,-0.012022746,-0.025806775,0.03880797,0.35161027,0.003557249,-0.1338651,0.34050485,-0.009323539,0.046666555,0.601781,0.14864713,-0.14370875,0.57422423,0.12172545,0.053309154,0.63285106,0.15447609,-0.14667015,0.6076802,0.11686565,0.095677204,0.6845626,0.042674575,-0.20999499,0.6836166,0.009268389
-0.02500361,-0.6577326,-0.401813,-0.020247146,-0.69532704,-0.3896762,-0.021559741,-0.69628406,-0.3925398,-0.019972222,-0.6943621,-0.38913563,-0.049239565,-0.68904144,-0.38818043,-0.050918825,-0.6897276,-0.38893208,-0.051587623,-0.69123185,-0.3838464,0.032010432,-0.68080914,-0.28408134,-0.11207737,-0.66508746,-0.28500393,-0.001795105,-0.6336718,-0.36882478,-0.045461643,-0.62849337,-0.3669278,0.14431913,-0.5289545,-0.21452446,-0.19610344,-0.48503652,-0.243387,0.1499857,-0.5297509,-0.2681476,-0.4326475,-0.46246552,-0.26808462,0.1286225,-0.50162536,-0.4088263,-0.6352128,-0.44459108,-0.35647234,0.118816175,-0.49177063,-0.404638,-0.69083536,-0.43012473,-0.37425143,0.10821055,-0.50199646,-0.455291,-0.7084159,-0.44526714,-0.41309687,0.11060599,-0.49494272,-0.41963068,-0.6527816,-0.43385485,-0.37999505,0.1082399,-0.013211415,-0.003957262,-0.11202251,-0.012180551,-0.025874535,0.038731582,0.35182473,0.003355244,-0.13470116,0.34019074,-0.009255462,0.04625236,0.60131603,0.1480988,-0.14446539,0.573102,0.12039901,0.05286832,0.6318288,0.1543171,-0.1474966,0.60669255,0.11633089,0.094972044,0.6846041,0.04203537,-0.20998108,0.68309426,0.008785071
-0.025394218,-0.657875,-0.40254745,-0.020479953,-0.69540143,-0.3903117,-0.021274917,-0.69623643,-0.39235845,-0.020118555,-0.69466186,-0.3896186,-0.049529415,-0.6891649,-0.38836807,-0.05081788,-0.6897368,-0.38932532,-0.051518694,-0.6913496,-0.38438553,0.031661786,-0.68108106,-0.28442135,-0.111886784,-0.6653133,-0.28534606,-0.002179344,-0.6339329,-0.36880225,-0.045514584,-0.6283708,-0.36677995,0.14415899,-0.5286562,-0.21445884,-0.19650033,-0.48495784,-0.24391246,0.14977406,-0.529569,-0.2682563,-0.4340221,-0.46286088,-0.2688462,0.12722722,-0.5015025,-0.407797,-0.63953346,-0.44512108,-0.3576115,0.119190685,-0.4913604,-0.40773112,-0.6918298,-0.43121877,-0.37416834,0.10818317,-0.4995576,-0.45707613,-0.7086436,-0.4466674,-0.41225034,0.110049,-0.49676132,-0.42021027,-0.65376353,-0.43830287,-0.3787436,0.10822527,-0.01322071,-0.0041281525,-0.112033516,-0.0123098,-0.02590165,0.038673386,0.35198742,0.003259018,-0.13532187,0.33996484,-0.009323528,0.04583844,0.60093105,0.14767593,-0.14512494,0.5723086,0.11950645,0.052444268,0.6311906,0.15422991,-0.14795125,0.60591716,0.11596225,0.0944884,0.6846659,0.041562807,-0.2100004,0.6826139,0.008416959
-0.025654418,-0.6579728,-0.40311754,-0.020678867,-0.69545424,-0.39071408,-0.021055453,-0.69619644,-0.39221144,-0.020234058,-0.69489694,-0.38997662,-0.04973206,-0.6892601,-0.3885154,-0.050746348,-0.6897372,-0.389613,-0.051422503,-0.69145185,-0.38478172,0.03139625,-0.68130016,-0.28466883,-0.11172759,-0.6654957,-0.28562796,-0.0024837363,-0.6341197,-0.36875072,-0.045567926,-0.62827045,-0.36672577,0.14399439,-0.52843183,-0.2143692,-0.19678846,-0.48488945,-0.24431323,0.1496015,-0.5295267,-0.2683116,-0.4351433,-0.46333733,-0.26941773,0.12612157,-0.5013256,-0.40694812,-0.64291626,-0.44583848,-0.35857257,0.11963313,-0.4910779,-0.41021064,-0.6925141,-0.4318367,-0.37407282,0.108032405,-0.49795058,-0.45819035,-0.70880336,-0.44790947,-0.41178524,0.10979571,-0.49812615,-0.42062807,-0.6545929,-0.44186148,-0.37790656,0.10821432,-0.013228264,-0.004244873,-0.11204305,-0.012415559,-0.025918335,0.03863189,0.3521455,0.003219288,-0.13577905,0.3398069,-0.009376895,0.045465793,0.60057443,0.14719416,-0.14566535,0.57167304,0.11883992,0.05208824,0.6307469,0.15418355,-0.14824347,0.6052331,0.115695104,0.094124876,0.6847641,0.041264314,-0.21001546,0.6821891,0.008045213
-0.025828209,-0.65804964,-0.40354338,-0.020820078,-0.69550484,-0.39098817,-0.020904591,-0.6961677,-0.39206618,-0.020326098,-0.6950775,-0.39025307,-0.049879726,-0.6893434,-0.38864878,-0.050691355,-0.6897373,-0.38983467,-0.05133296,-0.69153565,-0.385112,0.031192476,-0.6814793,-0.2848732,-0.11159726,-0.66563964,-0.28586188,-0.0027196507,-0.63424855,-0.36869532,-0.045603737,-0.62817734,-0.36671755,0.14385006,-0.5282512,-0.21426916,-0.19701025,-0.48483104,-0.24460937,0.14946288,-0.52951545,-0.26832673,-0.43608642,-0.46381325,-0.26985255,0.12524112,-0.5011031,-0.4062354,-0.64552575,-0.4465736,-0.3593378,0.11999776,-0.49095312,-0.41215566,-0.6929791,-0.4320806,-0.37394798,0.10785889,-0.4968068,-0.45882094,-0.7091498,-0.448935,-0.41155413,0.109779336,-0.49917388,-0.42096865,-0.65535593,-0.44459406,-0.37734455,0.10820597,-0.013240699,-0.0043270234,-0.11205058,-0.012496913,-0.025929945,0.03859172,0.352305,0.0031958518,-0.1361282,0.33970475,-0.009436149,0.04515804,0.6002927,0.14676066,-0.14608218,0.5711423,0.118366435,0.051836222,0.6304326,0.15416604,-0.14843033,0.60465187,0.11552835,0.09385079,0.6848724,0.041111257,-0.20998544,0.6818342,0.0077269357
-0.025957793,-0.65811694,-0.40386364,-0.020921636,-0.6955485,-0.3911876,-0.020806624,-0.6961451,-0.39193872,-0.020409675,-0.69521815,-0.3904613,-0.050002445,-0.6894166,-0.38876784,-0.050641406,-0.6897411,-0.39000335,-0.051261116,-0.6916052,-0.38539237,0.03103692,-0.68162155,-0.28504223,-0.11150326,-0.6657497,-0.286069,-0.0029113821,-0.634338,-0.36864752,-0.045634665,-0.6280962,-0.366725,0.143729,-0.52811164,-0.21419291,-0.19718443,-0.48479113,-0.24482816,0.14934297,-0.52947927,-0.2683191,-0.4368615,-0.46425575,-0.2701935,0.12454839,-0.50093025,-0.4056734,-0.64743006,-0.44719684,-0.35989854,0.12025551,-0.49086782,-0.4136735,-0.6933277,-0.4320812,-0.37380874,0.1077073,-0.49598637,-0.45921767,-0.70961607,-0.44979072,-0.4114344,0.10989885,-0.50000876,-0.42122737,-0.656117,-0.44670165,-0.3770192,0.10819939,-0.013255937,-0.00438508,-0.112056136,-0.012557969,-0.025934925,0.038550958,0.3524492,0.0031929342,-0.13640949,0.33964303,-0.009513934,0.044900343,0.6000776,0.14635381,-0.14639257,0.57072246,0.1180186,0.05166065,0.63018954,0.15418732,-0.14856988,0.6041818,0.11539495,0.09364913,0.6850143,0.041077994,-0.20993364,0.6815236,0.0075074574
-0.026062958,-0.6581637,-0.404115,-0.020978777,-0.69558835,-0.39132488,-0.02073507,-0.69612795,-0.39182997,-0.020484844,-0.69533193,-0.39062515,-0.050096422,-0.6894786,-0.3888726,-0.050595857,-0.68975073,-0.3901278,-0.051206198,-0.6916587,-0.38562852,0.030936047,-0.68173873,-0.28519177,-0.111419626,-0.6658331,-0.28624398,-0.003061973,-0.63440084,-0.36858797,-0.04566974,-0.62802404,-0.3667307,0.14362395,-0.52800846,-0.21413687,-0.19732101,-0.48476613,-0.24500573,0.14925376,-0.529426,-0.26830682,-0.43743882,-0.46462962,-0.27047914,0.124033734,-0.50074935,-0.40522552,-0.64884377,-0.44769165,-0.36036098,0.1205291,-0.49076235,-0.41489568,-0.6936138,-0.4320282,-0.3736893,0.10751837,-0.49538073,-0.45947614,-0.7100969,-0.45048815,-0.41135642,0.110123344,-0.5006545,-0.421442,-0.65682536,-0.44828025,-0.37681484,0.10819459,-0.013269262,-0.0044261594,-0.11206023,-0.012605867,-0.02593969,0.038509157,0.3525671,0.0031973142,-0.1366364,0.33960646,-0.009599513,0.04470643,0.5998999,0.14601901,-0.14664136,0.57040304,0.11773243,0.051532697,0.6299776,0.15426312,-0.14866404,0.6038238,0.11525694,0.093499675,0.6851825,0.041073106,-0.20988917,0.6812882,0.0073985746
-0.026150074,-0.6581971,-0.40431932,-0.02102146,-0.69561553,-0.39142904,-0.02068724,-0.6961158,-0.3917297,-0.020544305,-0.6954191,-0.39074633,-0.050164714,-0.68952495,-0.38896272,-0.05056344,-0.6897588,-0.39023152,-0.05115486,-0.6917012,-0.38584185,0.03086741,-0.6818296,-0.28531152,-0.11135618,-0.66589534,-0.28638697,-0.0031794065,-0.6344457,-0.36853397,-0.045707382,-0.6279671,-0.3667456,0.14353117,-0.52792746,-0.21408954,-0.1974319,-0.48475397,-0.2451489,0.14918198,-0.52938515,-0.2683083,-0.4378869,-0.46495715,-0.27070442,0.12364843,-0.50060767,-0.40487063,-0.6498971,-0.44810858,-0.3607525,0.12077147,-0.49062175,-0.41585326,-0.6937618,-0.4319499,-0.3735751,0.10733674,-0.49495515,-0.45962623,-0.710511,-0.4510591,-0.4112862,0.110410474,-0.50112116,-0.42164385,-0.657458,-0.44950747,-0.37669918,0.10819061,-0.013277597,-0.004454181,-0.11206349,-0.012642256,-0.025943706,0.038475327,0.35266432,0.0032010297,-0.13681,0.33957073,-0.009681004,0.044560947,0.5997528,0.14575778,-0.14683375,0.57014567,0.11751099,0.051440485,0.6298031,0.15432785,-0.14870913,0.60354084,0.115143485,0.09338457,0.68533164,0.041106954,-0.20986712,0.6811236,0.007317634
